idproducto,nombre,unidad,imagen,descripcion,precio,categoria,catalogo
134050,5.8ml capacidad,5000,productos/9-012.png,"5.8ml pipeta de transferencia, 147mm medida, 500/cja, 10 cjas/cartón",,,9
134060,5.8ml capacidad,5000,productos/9-013.png,"5.8ml pipeta de transferencia, 157mm medida, 500/cja, 10 cjas/cartón",,,9
134090,8.7ml capacidad,5000,productos/9-014.png,"8.7ml pipeta de transferencia, 147mm medida, 500/cja, 10 cjas/cartón",,,9
10-001,MYM hCG Test - One-step Pregnancy Test,,productos/10-001.png,"The MYM Test one-step pregnancy test is a rapid qualitative one-step assay for
detection of hCG in urine. The method employs a unique combination of
monoclonal dye conjugate and polyclonal slid phase antibodies to selectively
identify the hCG in the test samples with an extremely high degree of sensitivity.
In less than 5 minutes, levels of hCG as low as 25mlU/ml can be detected. Each
one-step pregnancy test strip is individually sealed in a foil pouch with a
desiccant inside. Foil pouch strips can be stored at room temperature. Period of
expiration is 18 months. This test can be used as early as the first day of missing
period. And test can be done at any time of the day. The result can easily be
read in 3 minutes. Its accuracy is over 99%.",,,10
T1-CK50,Hemosure iFOB TEST,,productos/10-002.png,"<p>50 Pruebas de Casete T1-TB50 - 50 Tubos de Colección</p>
<p>Consulta la información completa de Hemosure <a href=""http://grupomoscaro.com/index.php/cinicio/hemosure"">aquí</a></p>",,,10
10-002,BinaxNOW® Influenza A & B,,productos/10-004.png,Método inmunoenzimático para la detección cuaitativa del antigeno de la influenza A y B,,,
WAM-25,Amphetamine (AMP) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WAM-20,Amphetamine (AMP) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WBA-25,Barbiturate (BAR) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WBA-20,Barbiturate (BAR) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WBZ-25,Benzodiazepine (BZO) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WBZ-20,Benzodiazepine (BZO) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WCO-25,Cocaine (COC) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WCO-20,Cocaine (COC) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WMA-25,Methamphetamine (MAMP) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WMA-20,Methamphetamine (MAMP) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WMO-25,MOP Opiate 300 (OPI300) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WMO-20,MOP Opiate 300 (OPI300) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WMT-25,Methadone (MTD) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WMT-20,Methadone (MTD) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WOP-25,Opiate 2000 (OPI2000) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WOP-20,Opiate 2000 (OPI2000) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WPC-25,Phencyclidine (PCP) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WPC-20,Phencyclidine (PCP) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WTC-25,Tricyclic (TCA) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WTC-20,Tricyclic (TCA) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WTH-25,Marijuana (THC) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WTH-20,Marijuana (THC) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WMD-25,Ecstasy (MDMA) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WMD-20,Ecstasy (MDMA) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WOX-25,Oxycodone (OXY) Test Dip Card,25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
WOX-20,Oxycodone (OXY) Test Cassette,20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W124,Multi-Drug Test 2 in 1 (COC/THC),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W424,Multi-Drug Test 2 in 1 (mAMP/THC),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W134,Multi-Drug Test 3 in 1 (COC/THC/OPI),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W234,Multi-Drug Test 3 in 1 (COC/mAMP/THC),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W334,Multi-Drug Test 3 in 1 (COC/AMP/THC),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W144,Multi-Drug Test 4 in 1 (COC/mAMP/THC/OPI),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W244,Multi-Drug Test 4 in 1 (COC/AMP/THC/OPI),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W344,Multi-Drug Test 4 in 1 (COC/MTD/OPI/BZO),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W154,Multi-Drug Test 5 in 1 (COC/AMP/THC/OPI/PCP),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W254,Multi-Drug Test 5 in 1 (COC/AMP/mAMP/THC/OPI/),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W354,Multi-Drug Test 5 in 1 (COC/mAMP/THC/OPI/PCP),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W454,Multi-Drug Test 5 in 1 (COC/AMP/mAMP/THC/MOP),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W554,Multi-Drug Test 5 in 1 (COC/mAMP/THC/OPI/MDMA),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W654,Multi-Drug Test 5 in 1 (COC/mAMP/THC/OPI/BZO),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W754,Multi-Drug Test 5 in 1 (COC/AMP/THC/OPI/BZO),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W164,Multi-Drug Test 6 in 1 (COC/AMP/mAMP/THC/OPI/PCP),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W264,Multi-Drug Test 6 in 1 (COC/AMP/mAMP/THC/OPI/BZO),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W364,Multi-Drug Test 6 in 1 (COC/mAMP/THC/OPI/PCP/MDMA),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W464,Multi-Drug Test 6 in 1 (COC/AMP/mAMP/THC/OPI/MDMA),25,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W174,Multi-Drug Test 7 in 1 (COC/AMP/mAMP/THC/OPI/PCP/MDMA),20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W184,Multi-Drug Test 8 in 1 (COC/AMP/mAMP/THC/OPI/PCP/BAR/BZO),20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W194,Multi-Drug Test 9 in 1 (COC/AMP/mAMP/THC/MTD/OPI/PCP/BAR/BZO),20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W1104,Multi-Drug Test 10 in 1 (COC/AMP/mAMP/THC/MTD/OPI/PCP/BAR/BZO/TCA),20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W2104,Multi-Drug Test 10 in 1 (COC/AMP/mAMP/THC/MTD/MOP/PCP/BAR/BZO/TCA),20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
W3104,Multi-Drug Test 10 in 1 (COC/AMP/mAMP/THC/OPI/PCP/BAR/BZO/MTD/MDMA),20,productos/10-005.png,"The MYM one-step drug of abuse test is a one-step membrane immuno-chromatographic
test based on antigen/antibody complexation and is used for the analysis of abused drug
and its metabolites presence in the test sample. The assay is based on the competition
between the drug or drug metabolite in the sample and a drug conjugate immobilized on a
porous membrane support for limited antibody sites on the colored microspheres.",,,10
R0015,HIV-1+2 Ab,"Cassete 30T/Kit, Strip 50T/Kit",productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0012,HIV-1+2 Ab Combo,"Cassete 30T/Kit, Strip 50T/Kit",productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0016,HIV-1/ HIV-2 Ab (3-Line),"Cassete 30T/Kit, Strip 50T/Kit",productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0013,HIV-1/ HIV-2 Ab Combo (3-Line),Cassete 30T/Kit,productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0014,HIV-1/ HIV-2 Ab (3-Line) Single Pack,Cassete 30T/Kit,productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0020,HCV Ab,"Cassete 30T/Kit, Strip 50T/Kit",productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0021,HCV Ab Combo,Cassete 30T/Kit,productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0030,Syphilis Ab,"Cassete 30T/Kit, Strip 50T/Kit",productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0031,Syphilis Ab Combo,Cassete 30T/Kit,productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0040,HBsAg,"Cassete 30T/Kit, Strip 50T/Kit",productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0048,HBcAb,"Cassete 30T/Kit, Strip 50T/Kit",productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0170,Chagas Ab,"Cassete 30T/Kit, Strip 50T/Kit",productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0171,Chagas Ab Combo,Cassete 30T/Kit,productos/10-006.png,"Enfermedades Infecciosas, Specimen S,POfrecemos una gamma completa de pruebas rápidas: las enfermedades infecciosas, marcadores
cardiacos, marcadores tumorales, marcadores gastrointestinales, la fertilidad, y drogas del abuso.
Nuestra línea de productos expansiva ha recibido muchos elogios por su calidad, consistencia, y valor.
Las ofrecemos en varios formatos: suero, plasma, y sangre total. Espere próximamente la nueva línea de
pruebas en saliva.",,,10
R0090,HAV IgM,Cassete 30T/Kit,productos/10-006.png,"Infectious Diseases - Hepatitis, Specimen S,PInfectious Diseases - Hepatitis
A complete rapid test panel which aids in the diagnosis of hepatitis virus infection.",,,10
R0048,HBcAb,"Cassete 30T/Kit, Strip 50T/Kit",productos/10-006.png,"Infectious Diseases - Hepatitis, Specimen S,PInfectious Diseases - Hepatitis
A complete rapid test panel which aids in the diagnosis of hepatitis virus infection.",,,10
R0040,HBsAg,"Cassete 30T/Kit, Strip 50T/Kit",productos/10-006.png,"Infectious Diseases - Hepatitis, Specimen S,PInfectious Diseases - Hepatitis
A complete rapid test panel which aids in the diagnosis of hepatitis virus infection.",,,10
R0041,HBsAb,"Cassete 30T/Kit, Strip 50T/Kit",productos/10-006.png,"Infectious Diseases - Hepatitis, Specimen S,PInfectious Diseases - Hepatitis
A complete rapid test panel which aids in the diagnosis of hepatitis virus infection.",,,10
